Sample_name,moisture_perc,moist_weight_g
131,64.55,6.8
132,63.7,6.67
133,66.39,6.66
134,53.33,6.15
135,65.19,6.56
136,37.21,5.52
137,36.93,5.86
138,39.59,5.66
139,35.4,4.48
140,41.88,5.49
,,
21,121.69,8.82
22,108.29,8.25
23,105.07,8.26
24,112.12,8.47
25,108.76,8.42
76,88.89,7.58
77,87.18,7.51
78,81.55,7.29
79,97.34,7.93
80,78.2,7.19
,,
86,80,7.23
87,76.19,7.08
88,68.64,6.74
89,72.34,6.45
90,58.82,6.28
146,86.36,7.64
147,90.65,7.32
148,90.28,7.7
149,90.32,7.83
150,94.74,7.37
126,49.06,6.06
127,44.23,5.88
128,52.24,6.12
129,48.82,5.88
130,46.28,5.84
,,
116,45.45,5.85
117,35.2,5.37
118,44.54,5.79
119,42.74,5.73
120,37.93,5.53
31,71.43,6.91
32,61.39,6.45
33,71.43,6.9
34,62.5,6.54
35,66.34,6.63
156,24.58,4.95
157,27.07,5.08
158,32.56,5.3
159,33.33,5.33
160,36.36,5.45
,,
41,4.85,4.19
42,4.76,4.04
43,4.59,4.16
44,3.94,4.14
45,4,4.12
96,2.02,4.08
97,2.59,4.11
98,3.13,4.05
99,2.88,4.12
100,2.68,4.15
0,0,
36,5.08,4.11
37,6.2,4.2
38,5.98,4.27
39,5.83,4.29
40,6.57,4.24
91,2.48,4.17
92,3.57,4.16
93,3.6,4.19
94,2.05,4.1
95,3.4,4.17
,,
71,88.71,7.49
72,105.76,8.26
73,82.2,7.3
74,75.89,7.05
75,88.6,7.53
16,131,9.28
17,128.09,9.06
18,117.14,8.67
19,119.44,8.73
20,123.58,8.9
,,
111,40,7.48
112,38.82,5.53
113,39.13,5.61
114,41.86,5.62
115,42.45,5.67
26,70.9,6.78
27,67.35,6.75
28,64.47,6.79
29,60,6.43
30,64.37,6.6
141,87.37,7.52
142,91.78,7.63
143,97.65,7.89
144,92.93,7.68
145,92.96,7.71
,,
81,63.15,6.6
82,68.71,6.78
83,75.29,6.99
84,51.72,6.06
85,56.88,6.23
121,41.67,5.69
122,41.48,5.61
123,34.29,5.36
124,39.62,5.58
125,41.51,5.7
151,30.51,5.25
152,32.31,5.29
153,25.64,5.03
154,25.76,5.06
155,28.55,5.14
,,
,,
QC1,,4.01
QC2,,4.05
QC3,,4.02
QC4,,3.99
