"Sample_name","npoc_mg_l","wsoc_mg_g"
"18",16.33,0.183
"19",17.96,0.202
"20",18.13,0.205
"156",14.08,0.145
"157",14.31,0.147
"158",10.99,0.113
"159",10.45,0.108
"160",13.62,0.141
"71",16.21,0.178
"72",18.05,0.199
"73",19.03,0.205
"74",13.84,0.149
"75",17.94,0.196
"16",15.73,0.177
"17",16.94,0.192
